Disease,Medication,Diet,Precaution_1,Precaution_2,Precaution_3,Precaution_4,workout,weight
Fungal infection,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,Avoid sugary foods,
Fungal infection,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,Consume probiotics,
Fungal infection,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,Increase intake of garlic,
Fungal infection,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,Include yogurt in diet,
Fungal infection,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,Limit processed foods,
Fungal infection,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,Stay hydrated,
Fungal infection,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,Consume green tea,
Fungal infection,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,Eat foods rich in zinc,
Fungal infection,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,Include turmeric in diet,
Fungal infection,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,Eat fruits and vegetables,
Allergy,"['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy']","['Elimination Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']",apply calamine,cover area with bandage,,use ice to compress itching,Avoid allergenic foods,
Allergy,"['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy']","['Elimination Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']",apply calamine,cover area with bandage,,use ice to compress itching,Consume anti-inflammatory foods,
Allergy,"['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy']","['Elimination Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']",apply calamine,cover area with bandage,,use ice to compress itching,Include omega-3 fatty acids,
Allergy,"['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy']","['Elimination Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']",apply calamine,cover area with bandage,,use ice to compress itching,Stay hydrated,
Allergy,"['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy']","['Elimination Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']",apply calamine,cover area with bandage,,use ice to compress itching,Eat foods rich in vitamin C,
Allergy,"['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy']","['Elimination Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']",apply calamine,cover area with bandage,,use ice to compress itching,Include quercetin-rich foods,
Allergy,"['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy']","['Elimination Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']",apply calamine,cover area with bandage,,use ice to compress itching,Consume local honey,
Allergy,"['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy']","['Elimination Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']",apply calamine,cover area with bandage,,use ice to compress itching,Limit processed foods,
Allergy,"['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy']","['Elimination Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']",apply calamine,cover area with bandage,,use ice to compress itching,Include ginger in diet,
Allergy,"['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy']","['Elimination Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']",apply calamine,cover area with bandage,,use ice to compress itching,Avoid artificial additives,
GERD,"['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics']","['Low-Acid Diet', 'Fiber-rich foods', 'Ginger', 'Licorice', 'Aloe vera juice']",avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,Consume smaller meals,
GERD,"['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics']","['Low-Acid Diet', 'Fiber-rich foods', 'Ginger', 'Licorice', 'Aloe vera juice']",avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,"Avoid trigger foods (spicy, fatty)",
GERD,"['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics']","['Low-Acid Diet', 'Fiber-rich foods', 'Ginger', 'Licorice', 'Aloe vera juice']",avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,Eat high-fiber foods,
GERD,"['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics']","['Low-Acid Diet', 'Fiber-rich foods', 'Ginger', 'Licorice', 'Aloe vera juice']",avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,Limit caffeine and alcohol,
GERD,"['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics']","['Low-Acid Diet', 'Fiber-rich foods', 'Ginger', 'Licorice', 'Aloe vera juice']",avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,Chew food thoroughly,
GERD,"['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics']","['Low-Acid Diet', 'Fiber-rich foods', 'Ginger', 'Licorice', 'Aloe vera juice']",avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,Avoid late-night eating,
GERD,"['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics']","['Low-Acid Diet', 'Fiber-rich foods', 'Ginger', 'Licorice', 'Aloe vera juice']",avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,Consume non-citrus fruits,
GERD,"['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics']","['Low-Acid Diet', 'Fiber-rich foods', 'Ginger', 'Licorice', 'Aloe vera juice']",avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,Include lean proteins,
GERD,"['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics']","['Low-Acid Diet', 'Fiber-rich foods', 'Ginger', 'Licorice', 'Aloe vera juice']",avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,Stay hydrated,
GERD,"['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics']","['Low-Acid Diet', 'Fiber-rich foods', 'Ginger', 'Licorice', 'Aloe vera juice']",avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,Avoid carbonated beverages,
Chronic cholestasis,"['Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant']","['Low-Fat Diet', 'High-Fiber Diet', 'Lean proteins', 'Whole grains', 'Fresh fruits and vegetables']",cold baths,anti itch medicine,consult doctor,eat healthy,Consume a low-fat diet,
Chronic cholestasis,"['Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant']","['Low-Fat Diet', 'High-Fiber Diet', 'Lean proteins', 'Whole grains', 'Fresh fruits and vegetables']",cold baths,anti itch medicine,consult doctor,eat healthy,Eat high-fiber foods,
Chronic cholestasis,"['Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant']","['Low-Fat Diet', 'High-Fiber Diet', 'Lean proteins', 'Whole grains', 'Fresh fruits and vegetables']",cold baths,anti itch medicine,consult doctor,eat healthy,Include healthy fats,
Chronic cholestasis,"['Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant']","['Low-Fat Diet', 'High-Fiber Diet', 'Lean proteins', 'Whole grains', 'Fresh fruits and vegetables']",cold baths,anti itch medicine,consult doctor,eat healthy,Limit alcohol consumption,
Chronic cholestasis,"['Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant']","['Low-Fat Diet', 'High-Fiber Diet', 'Lean proteins', 'Whole grains', 'Fresh fruits and vegetables']",cold baths,anti itch medicine,consult doctor,eat healthy,Stay hydrated,
Chronic cholestasis,"['Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant']","['Low-Fat Diet', 'High-Fiber Diet', 'Lean proteins', 'Whole grains', 'Fresh fruits and vegetables']",cold baths,anti itch medicine,consult doctor,eat healthy,Consume antioxidant-rich foods,
Chronic cholestasis,"['Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant']","['Low-Fat Diet', 'High-Fiber Diet', 'Lean proteins', 'Whole grains', 'Fresh fruits and vegetables']",cold baths,anti itch medicine,consult doctor,eat healthy,Include omega-3 fatty acids,
Chronic cholestasis,"['Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant']","['Low-Fat Diet', 'High-Fiber Diet', 'Lean proteins', 'Whole grains', 'Fresh fruits and vegetables']",cold baths,anti itch medicine,consult doctor,eat healthy,Include lean proteins,
Chronic cholestasis,"['Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant']","['Low-Fat Diet', 'High-Fiber Diet', 'Lean proteins', 'Whole grains', 'Fresh fruits and vegetables']",cold baths,anti itch medicine,consult doctor,eat healthy,Limit processed foods,
Chronic cholestasis,"['Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant']","['Low-Fat Diet', 'High-Fiber Diet', 'Lean proteins', 'Whole grains', 'Fresh fruits and vegetables']",cold baths,anti itch medicine,consult doctor,eat healthy,Avoid fried foods,
Drug Reaction,"['Antihistamines', 'Epinephrine', 'Corticosteroids', 'Antibiotics', 'Antifungal Cream']","['Antihistamine Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']",stop irritation,consult nearest hospital,stop taking drug,follow up,Discontinue offending medication,
Drug Reaction,"['Antihistamines', 'Epinephrine', 'Corticosteroids', 'Antibiotics', 'Antifungal Cream']","['Antihistamine Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']",stop irritation,consult nearest hospital,stop taking drug,follow up,Stay hydrated,
Drug Reaction,"['Antihistamines', 'Epinephrine', 'Corticosteroids', 'Antibiotics', 'Antifungal Cream']","['Antihistamine Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']",stop irritation,consult nearest hospital,stop taking drug,follow up,Include anti-inflammatory foods,
Drug Reaction,"['Antihistamines', 'Epinephrine', 'Corticosteroids', 'Antibiotics', 'Antifungal Cream']","['Antihistamine Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']",stop irritation,consult nearest hospital,stop taking drug,follow up,Consume antioxidants,
Drug Reaction,"['Antihistamines', 'Epinephrine', 'Corticosteroids', 'Antibiotics', 'Antifungal Cream']","['Antihistamine Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']",stop irritation,consult nearest hospital,stop taking drug,follow up,Avoid trigger foods,
Drug Reaction,"['Antihistamines', 'Epinephrine', 'Corticosteroids', 'Antibiotics', 'Antifungal Cream']","['Antihistamine Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']",stop irritation,consult nearest hospital,stop taking drug,follow up,Include omega-3 fatty acids,
Drug Reaction,"['Antihistamines', 'Epinephrine', 'Corticosteroids', 'Antibiotics', 'Antifungal Cream']","['Antihistamine Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']",stop irritation,consult nearest hospital,stop taking drug,follow up,Limit caffeine and alcohol,
